platform,post_id,content_type,date_posted,likes,comments,shares,saves,retweets,clicks,views,impressions,reach,followers_at_time,demographic_segment,location,device_type,campaign_name,ad_spend,boosted,caption_text,hashtags,link_clicked,video_duration,engagement,engagement_rate,click_through_rate,conversion_rate
Facebook,POST00833,reel,2024-02-04 17:00:00,51,13,5,0,7,18,5016,7234,9745,58970,55+,India,desktop,Brand Awareness,447.76,False,Television quality he central despite magazine.,"#catch, #behavior",True,27.2,69,0.009538291401714128,0.0024882499308819463,0.05555555555555555
Twitter,POST00834,text,2024-02-04 18:00:00,45,11,6,2,1,23,4966,6222,17681,57941,25-34,US,desktop,Brand Awareness,449.92,False,Course often coach be.,"#risk, #fire",True,73.3,62,0.009964641594342655,0.0036965605914496946,0.043478260869565216
Facebook,POST00835,reel,2024-02-04 19:00:00,50,16,8,3,5,20,3927,13246,8839,26589,55+,US,mobile,Brand Awareness,136.39,True,Such none itself store base.,"#onto, #painting",True,31.7,74,0.00558659217877095,0.0015098897780462027,0.05
LinkedIn,POST00836,image,2024-02-04 20:00:00,67,8,2,7,8,15,2216,758,13556,71412,35-44,India,mobile,New Product Launch,157.73,True,Social mind song certainly skin international.,"#line, #production",False,38.8,77,0.10158311345646438,0.01978891820580475,0.0
Twitter,POST00837,reel,2024-02-04 21:00:00,49,12,6,3,6,25,7421,5274,15233,73277,55+,India,desktop,Brand Awareness,459.4,True,Kind authority create from.,"#necessary, #wish",True,176.0,67,0.012703830109973455,0.004740235115661737,0.04
Facebook,POST00838,image,2024-02-04 22:00:00,50,12,4,4,6,23,6568,3386,8815,5178,25-34,Germany,desktop,Summer Sale,62.89,False,Behind owner among city food offer.,"#likely, #doctor",True,108.3,66,0.019492025989367986,0.006792675723567632,0.043478260869565216
Twitter,POST00839,reel,2024-02-04 23:00:00,44,7,5,4,3,19,4019,3967,13600,14227,45-54,Nigeria,tablet,Holiday Promo,327.94,True,Car lose let thing.,"#join, #with",False,70.1,56,0.01411646080161331,0.004789513486261659,0.0
LinkedIn,POST00840,video,2024-02-05 00:00:00,40,8,5,1,2,15,9776,5889,5539,13167,55+,Germany,tablet,Summer Sale,146.16,True,Of your yet wear yes relate.,"#kind, #pull",False,93.8,53,0.008999830191883173,0.0025471217524197657,0.0
Facebook,POST00841,text,2024-02-05 01:00:00,53,13,7,3,5,19,3310,4493,6744,47104,55+,India,tablet,Holiday Promo,360.65,True,Occur station message seat.,"#professor, #dog",True,69.0,73,0.016247496105052304,0.0042288003561095034,0.05263157894736842
Twitter,POST00842,image,2024-02-05 02:00:00,51,5,7,1,4,13,4097,13254,6400,58504,35-44,India,mobile,Summer Sale,416.83,True,Want certain collection improve she attorney manager.,"#various, #project",True,108.3,63,0.0047532820280669985,0.0009808359740455712,0.07692307692307693
LinkedIn,POST00843,reel,2024-02-05 03:00:00,55,9,6,4,4,13,1016,8136,13427,15528,25-34,India,mobile,New Product Launch,204.06,False,Commercial have discussion act film.,"#lawyer, #how",False,0.1,70,0.008603736479842675,0.0015978367748279252,0.0
Twitter,POST00844,reel,2024-02-05 04:00:00,55,10,5,4,9,21,1383,928,14900,23336,25-34,Germany,tablet,Holiday Promo,75.58,True,Mission education enter clearly sometimes lead business.,"#military, #movie",False,42.5,70,0.07543103448275862,0.022629310344827586,0.0
Twitter,POST00845,reel,2024-02-05 05:00:00,47,5,2,5,5,15,6388,11320,3724,82012,25-34,Nigeria,mobile,Holiday Promo,366.12,True,Budget push turn professor coach.,"#nice, #glass",False,178.0,54,0.004770318021201414,0.001325088339222615,0.0
Instagram,POST00846,video,2024-02-05 06:00:00,37,16,0,3,4,24,9818,3670,5094,56768,25-34,India,mobile,New Product Launch,27.86,True,Include stand maintain bank wind Mr source.,"#use, #grow",False,20.2,53,0.01444141689373297,0.006539509536784741,0.0
Instagram,POST00847,video,2024-02-05 07:00:00,40,8,4,6,5,19,5890,18820,14441,98806,25-34,UK,mobile,New Product Launch,7.5,False,Attack pick true.,"#pressure, #since",False,14.2,52,0.002763018065887354,0.0010095642933049948,0.0
LinkedIn,POST00848,image,2024-02-05 08:00:00,57,15,4,3,3,26,5737,16467,8892,72218,18-24,Nigeria,mobile,Summer Sale,438.59,False,Head war us sit officer lose direction.,"#start, #debate",True,88.8,76,0.004615291188437481,0.0015789154065707172,0.038461538461538464
Instagram,POST00849,image,2024-02-05 09:00:00,48,11,2,2,3,26,5956,4861,11726,31846,45-54,UK,tablet,Summer Sale,408.4,False,Act performance hold the.,"#Mrs, #moment",True,52.3,61,0.012548858259617362,0.005348693684427073,0.038461538461538464
LinkedIn,POST00850,video,2024-02-05 10:00:00,59,8,5,1,5,16,4311,19632,10369,65829,55+,UK,mobile,Summer Sale,290.98,True,Best power break analysis individual own cost.,"#suddenly, #travel",True,96.1,72,0.003667481662591687,0.0008149959250203749,0.0625
Instagram,POST00851,image,2024-02-05 11:00:00,59,12,8,7,2,19,2698,7373,613,81730,55+,Nigeria,tablet,Brand Awareness,332.69,False,Mrs company likely the.,"#short, #Congress",True,172.9,79,0.0107147701071477,0.0025769700257697002,0.05263157894736842
Twitter,POST00852,text,2024-02-05 12:00:00,56,9,5,8,6,24,7374,12936,7914,84515,55+,UK,tablet,Holiday Promo,476.3,True,They site condition without campaign.,"#lawyer, #part",False,22.7,70,0.005411255411255411,0.0018552875695732839,0.0
LinkedIn,POST00853,text,2024-02-05 13:00:00,43,6,7,2,4,15,2777,626,926,55199,35-44,US,mobile,Brand Awareness,31.38,False,Black travel police teacher everything allow.,"#magazine, #enjoy",False,79.2,56,0.08945686900958466,0.023961661341853034,0.0
LinkedIn,POST00854,video,2024-02-05 14:00:00,42,7,7,5,4,29,141,9955,10869,22277,25-34,Germany,mobile,Summer Sale,108.3,True,High onto say sign cold foreign.,"#none, #see",True,136.6,56,0.0056253139126067305,0.002913108990457057,0.034482758620689655
Twitter,POST00855,image,2024-02-05 15:00:00,51,13,6,3,3,18,6326,11018,12707,94384,45-54,India,tablet,New Product Launch,364.6,True,Center before responsibility.,"#born, #also",False,28.9,70,0.0063532401524777635,0.0016336903249228535,0.0
LinkedIn,POST00856,reel,2024-02-05 16:00:00,43,15,6,5,5,21,4069,7728,14948,5641,55+,US,mobile,Holiday Promo,132.02,True,Range safe because onto for ground for.,"#source, #hair",False,128.2,64,0.008281573498964804,0.002717391304347826,0.0
LinkedIn,POST00857,text,2024-02-05 17:00:00,32,8,5,2,3,14,4465,14189,10162,32335,25-34,India,tablet,Brand Awareness,103.63,True,New sure large leave.,"#break, #threat",False,72.0,45,0.0031714708577066744,0.000986679822397632,0.0
Instagram,POST00858,video,2024-02-05 18:00:00,51,7,5,4,3,17,5234,18308,16785,44815,25-34,India,desktop,Brand Awareness,221.1,True,Compare forget above wind million.,"#generation, #fly",False,111.7,63,0.003441118636661569,0.000928555822591217,0.0
LinkedIn,POST00859,image,2024-02-05 19:00:00,53,13,4,1,3,18,1046,7081,14841,16726,25-34,US,desktop,Summer Sale,361.85,True,Special crime three.,"#enjoy, #dog",True,94.6,70,0.00988560937720661,0.002542013839853128,0.05555555555555555
Facebook,POST00860,video,2024-02-05 20:00:00,66,12,10,3,2,24,2809,15394,11837,6642,35-44,India,tablet,New Product Launch,105.26,False,Goal while gas yes experience.,"#reveal, #deep",False,81.1,88,0.00571651292711446,0.0015590489801221255,0.0
Twitter,POST00861,reel,2024-02-05 21:00:00,63,8,2,4,8,9,8093,16540,9853,4278,45-54,Nigeria,desktop,Summer Sale,214.77,False,Boy camera maintain speak stage TV price.,"#front, #consider",False,86.2,73,0.00441354292623942,0.0005441354292623942,0.0
Instagram,POST00862,text,2024-02-05 22:00:00,45,10,8,2,3,23,6945,4738,9265,72154,55+,Germany,tablet,Summer Sale,259.41,False,But board skin more site enter.,"#Congress, #foreign",False,26.5,63,0.013296749683410722,0.0048543689320388345,0.0
Instagram,POST00863,video,2024-02-05 23:00:00,55,4,2,2,6,22,1045,17198,3158,2308,18-24,India,tablet,New Product Launch,86.11,False,Image right mind help.,"#number, #middle",True,78.2,61,0.0035469240609373185,0.0012792185137806722,0.045454545454545456
Facebook,POST00864,video,2024-02-06 00:00:00,46,11,4,4,3,27,2828,14864,13572,3781,35-44,Germany,mobile,Summer Sale,238.39,False,Sea table conference sign pretty authority.,"#ball, #kid",False,135.6,61,0.004103875134553283,0.001816469321851453,0.0
Twitter,POST00865,video,2024-02-06 01:00:00,51,7,7,3,3,17,899,15557,12260,89586,35-44,UK,desktop,Brand Awareness,432.94,True,Total area should degree believe successful ability.,"#from, #minute",False,161.4,65,0.0041781834543935205,0.0010927556726875363,0.0
Twitter,POST00866,reel,2024-02-06 02:00:00,42,10,3,2,1,19,2308,11365,7508,66920,18-24,India,desktop,New Product Launch,373.03,True,Such back above standard important game hand.,"#safe, #near",False,112.8,55,0.004839419269687638,0.0016717993840739112,0.0
Instagram,POST00867,video,2024-02-06 03:00:00,56,6,6,2,4,17,6028,7211,14199,6584,35-44,UK,mobile,Brand Awareness,251.72,False,Continue area most to product social.,"#little, #hit",True,148.9,68,0.00943003744279573,0.0023575093606989323,0.058823529411764705
LinkedIn,POST00868,reel,2024-02-06 04:00:00,43,13,10,4,6,16,8374,9423,1417,48294,55+,Germany,tablet,Summer Sale,62.64,False,Because chance cell picture.,"#something, #may",True,91.4,66,0.0070041388092964025,0.0016979730446779156,0.0625
Instagram,POST00869,reel,2024-02-06 05:00:00,53,11,5,6,2,21,7881,16374,318,93141,45-54,US,mobile,New Product Launch,11.68,True,Sort general similar up medical live.,"#cold, #call",False,38.9,69,0.004213997801392451,0.001282521069989007,0.0
Twitter,POST00870,reel,2024-02-06 06:00:00,50,11,4,1,5,30,6358,8192,16192,8883,45-54,Germany,desktop,Brand Awareness,33.62,False,Area fill opportunity meet data check weight.,"#partner, #only",True,130.3,65,0.0079345703125,0.003662109375,0.03333333333333333
Facebook,POST00871,text,2024-02-06 07:00:00,46,14,4,2,6,19,7509,9113,12494,52770,55+,Nigeria,tablet,Brand Awareness,375.11,True,Near process let next.,"#represent, #might",True,126.3,64,0.00702293426972457,0.0020849336113244817,0.05263157894736842
Instagram,POST00872,text,2024-02-06 08:00:00,43,8,7,3,6,19,158,11577,8318,10707,55+,Nigeria,tablet,Brand Awareness,352.19,False,Performance business his before.,"#charge, #near",False,1.3,58,0.005009933488814028,0.0016411851084045953,0.0
Twitter,POST00873,video,2024-02-06 09:00:00,43,3,4,1,3,30,6342,3326,3345,81474,45-54,Germany,mobile,New Product Launch,373.03,False,Security population fear.,"#store, #behind",False,86.3,50,0.01503307276007216,0.009019843656043296,0.0
Instagram,POST00874,video,2024-02-06 10:00:00,49,9,1,4,4,22,3246,7050,14149,98571,55+,Germany,tablet,Brand Awareness,153.61,True,Third conference long fill project edge magazine.,"#it, #debate",True,168.6,59,0.008368794326241135,0.003120567375886525,0.045454545454545456
LinkedIn,POST00875,text,2024-02-06 11:00:00,49,15,4,3,0,11,6758,11236,13268,54902,35-44,UK,desktop,Holiday Promo,44.96,True,Effort example same gun area toward back.,"#every, #experience",True,177.2,68,0.006051975792096832,0.000978996084015664,0.09090909090909091
Instagram,POST00876,image,2024-02-06 12:00:00,51,10,2,4,3,13,6618,7723,11729,95814,45-54,UK,desktop,New Product Launch,357.17,True,Drug end court him.,"#but, #real",False,82.2,63,0.008157451767447883,0.0016832836980448013,0.0
Instagram,POST00877,text,2024-02-06 13:00:00,63,8,12,4,1,24,1114,16772,7549,99008,18-24,India,desktop,Brand Awareness,461.23,False,Sell role sound yet.,"#after, #about",False,129.9,83,0.00494872406391605,0.0014309563558311473,0.0
Twitter,POST00878,reel,2024-02-06 14:00:00,50,10,4,3,1,19,9095,3836,12155,95267,18-24,UK,tablet,Holiday Promo,226.1,True,House main firm under happen garden.,"#father, #me",True,3.2,64,0.016684045881126174,0.004953076120959333,0.05263157894736842
Twitter,POST00879,text,2024-02-06 15:00:00,55,10,7,1,4,16,3834,13934,3420,94217,55+,US,mobile,New Product Launch,382.16,False,Do able because school as.,"#surface, #office",True,48.3,72,0.00516721687957514,0.0011482704176833645,0.0625
Twitter,POST00880,reel,2024-02-06 16:00:00,49,13,8,3,4,23,5102,10093,6525,85669,18-24,US,desktop,Brand Awareness,364.04,True,Skill miss affect challenge thought art try include.,"#evidence, #paper",True,129.9,70,0.006935499851382146,0.0022788070940255624,0.043478260869565216
Instagram,POST00881,video,2024-02-06 17:00:00,62,18,6,5,2,21,7430,4563,15696,78839,18-24,UK,tablet,New Product Launch,426.85,False,First popular seven other.,"#road, #hour",False,117.5,86,0.018847249616480384,0.0046022353714661405,0.0
LinkedIn,POST00882,image,2024-02-06 18:00:00,51,13,8,2,2,23,6490,12239,2181,32638,45-54,Germany,mobile,Holiday Promo,14.19,False,Building mean report sell focus no.,"#anyone, #wish",False,118.9,72,0.005882833564833728,0.001879238499877441,0.0
Facebook,POST00883,video,2024-02-06 19:00:00,50,11,4,2,8,23,4957,11489,13836,88328,35-44,Germany,tablet,Holiday Promo,477.65,False,Sit development add various.,"#glass, #shake",True,125.4,65,0.005657585516581078,0.00200191487509792,0.043478260869565216
Facebook,POST00884,reel,2024-02-06 20:00:00,52,10,1,4,7,24,3456,7746,1616,82021,25-34,US,desktop,Summer Sale,432.68,True,Check really consider security.,"#also, #entire",True,77.3,63,0.008133230054221533,0.003098373353989156,0.041666666666666664
Twitter,POST00885,reel,2024-02-06 21:00:00,50,12,3,6,3,17,416,4948,16897,64068,18-24,Germany,tablet,New Product Launch,438.24,True,Rate floor all director him fall the whose.,"#meet, #man",True,168.8,65,0.013136620856911883,0.0034357316087308,0.058823529411764705
Twitter,POST00886,reel,2024-02-06 22:00:00,37,9,4,1,2,20,7798,11722,1598,42983,55+,Nigeria,desktop,New Product Launch,498.18,False,Consider police surface finally summer.,"#model, #trial",True,65.9,50,0.0042654837058522434,0.0017061934823408974,0.05
Instagram,POST00887,image,2024-02-06 23:00:00,58,11,4,3,1,20,4284,18127,3536,62919,25-34,Germany,desktop,Brand Awareness,319.74,False,Well head cell shoulder soon.,"#bring, #put",False,162.4,73,0.004027141832625365,0.0011033265294864015,0.0
Facebook,POST00888,text,2024-02-07 00:00:00,43,6,5,3,2,21,819,16290,4963,11639,18-24,US,desktop,Holiday Promo,40.84,True,Not might make difference east series.,"#remember, #if",True,10.9,54,0.0033149171270718232,0.001289134438305709,0.047619047619047616
Twitter,POST00889,video,2024-02-07 01:00:00,56,5,6,4,6,24,990,19746,1102,88118,35-44,India,desktop,Brand Awareness,411.4,True,Congress media discuss.,"#turn, #every",False,152.9,67,0.003393092271852527,0.001215436037678517,0.0
LinkedIn,POST00890,video,2024-02-07 02:00:00,52,13,7,3,5,24,929,10582,16767,76476,18-24,UK,tablet,Summer Sale,67.44,False,Out stop stock wind lot thus west education.,"#teach, #our",False,54.6,72,0.006804006804006804,0.002268002268002268,0.0
LinkedIn,POST00891,text,2024-02-07 03:00:00,31,6,7,4,8,14,2426,9080,10713,47221,55+,UK,tablet,Summer Sale,368.95,False,Central American sister decision young.,"#new, #able",True,118.8,44,0.004845814977973568,0.0015418502202643172,0.07142857142857142
Twitter,POST00892,video,2024-02-07 04:00:00,58,10,2,0,4,25,2968,5908,8142,87804,35-44,India,mobile,Brand Awareness,212.01,False,Smile example white season rich last.,"#go, #its",True,9.9,70,0.011848341232227487,0.0042315504400812455,0.04
Twitter,POST00893,image,2024-02-07 05:00:00,33,8,6,1,1,19,6126,5779,14592,26815,55+,Nigeria,mobile,Summer Sale,3.31,True,Area picture better resource task because name.,"#door, #inside",True,14.4,47,0.008132894964526734,0.003287766049489531,0.05263157894736842
Facebook,POST00894,video,2024-02-07 06:00:00,58,14,6,5,2,14,4036,4707,8001,13664,55+,Nigeria,mobile,Summer Sale,217.89,True,Focus approach since significant.,"#company, #write",True,10.3,78,0.0165710643722116,0.0029742936052687486,0.07142857142857142
Facebook,POST00895,reel,2024-02-07 07:00:00,48,10,4,3,4,17,4267,14819,2108,73518,55+,India,mobile,Summer Sale,398.33,False,Activity send would front beautiful.,"#land, #exist",False,87.3,62,0.004183818071394831,0.0011471759228018086,0.0
Instagram,POST00896,text,2024-02-07 08:00:00,49,7,6,2,2,21,5077,6574,13158,47238,55+,Germany,desktop,Holiday Promo,43.7,True,Over almost decision.,"#with, #pay",True,74.9,62,0.009431092181320353,0.0031944021904472164,0.047619047619047616
Facebook,POST00897,image,2024-02-07 09:00:00,51,15,8,1,3,22,8508,11989,11140,9213,55+,US,desktop,New Product Launch,1.11,False,Into recently drug job short fish boy.,"#them, #technology",True,57.4,74,0.006172324630911669,0.0018350154308115773,0.045454545454545456
LinkedIn,POST00898,text,2024-02-07 10:00:00,46,6,6,3,3,24,3718,19419,1789,37888,35-44,Nigeria,tablet,New Product Launch,226.38,True,Analysis fear public career recently about.,"#past, #above",False,80.3,58,0.002986765538905196,0.0012359029816159431,0.0
LinkedIn,POST00899,image,2024-02-07 11:00:00,47,12,2,3,8,26,6214,8627,7270,10773,45-54,Nigeria,tablet,Summer Sale,0.75,False,Message investment fly level expect.,"#tell, #administration",False,56.4,61,0.007070824156717283,0.003013793902863104,0.0
Twitter,POST00900,reel,2024-02-07 12:00:00,52,8,3,2,0,22,209,4130,13741,67601,35-44,India,mobile,Summer Sale,467.37,True,Truth with big growth out skill store.,"#couple, #year",False,156.9,63,0.015254237288135594,0.005326876513317191,0.0
Facebook,POST00901,text,2024-02-07 13:00:00,45,7,9,3,11,15,9120,14460,8069,52744,45-54,India,tablet,Brand Awareness,412.43,True,Game body show.,"#phone, #different",False,101.3,61,0.004218533886583679,0.001037344398340249,0.0
Instagram,POST00902,video,2024-02-07 14:00:00,49,9,6,2,1,31,5386,11100,12855,64075,35-44,Nigeria,tablet,Holiday Promo,315.06,False,If they decade.,"#brother, #name",True,55.8,64,0.005765765765765766,0.002792792792792793,0.03225806451612903
LinkedIn,POST00903,image,2024-02-07 15:00:00,56,8,8,7,3,21,2645,11926,9269,99649,55+,Germany,tablet,Summer Sale,8.66,False,Call hit grow particularly.,"#cold, #my",False,81.8,72,0.006037229582424954,0.0017608586282072782,0.0
LinkedIn,POST00904,text,2024-02-07 16:00:00,46,7,3,1,6,15,4775,4642,11171,80772,35-44,UK,desktop,Summer Sale,284.91,False,Hot several book.,"#great, #particularly",False,156.1,56,0.012063765618267988,0.003231365790607497,0.0
Instagram,POST00905,video,2024-02-07 17:00:00,35,10,5,1,7,14,4944,19531,3117,5910,35-44,UK,mobile,Summer Sale,335.54,True,Suggest business concern sure great natural tree.,"#story, #recently",True,73.6,50,0.0025600327684194356,0.000716809175157442,0.07142857142857142
Instagram,POST00906,text,2024-02-07 18:00:00,62,12,9,5,2,17,2531,11006,8102,32301,45-54,UK,mobile,New Product Launch,293.72,False,Itself worker surface look image seek.,"#nearly, #hand",False,76.9,83,0.007541341086679993,0.0015446120298019262,0.0
LinkedIn,POST00907,text,2024-02-07 19:00:00,51,8,5,5,1,16,6003,13332,6223,99770,35-44,UK,tablet,Brand Awareness,473.45,False,Reveal entire front join knowledge.,"#over, #owner",False,60.8,64,0.004800480048004801,0.0012001200120012002,0.0
LinkedIn,POST00908,text,2024-02-07 20:00:00,47,12,2,2,5,22,2012,18873,3249,44505,35-44,Nigeria,tablet,Summer Sale,415.67,True,Official possible hand across bank remember line.,"#who, #identify",False,46.9,61,0.0032321305568801992,0.001165686430350236,0.0
Instagram,POST00909,image,2024-02-07 21:00:00,51,7,7,1,5,25,1186,4523,14094,69919,18-24,Nigeria,desktop,Brand Awareness,182.55,False,Ball good respond personal everybody others theory.,"#gas, #sure",True,84.9,65,0.014370992703957551,0.0055273048861375195,0.04
LinkedIn,POST00910,video,2024-02-07 22:00:00,39,8,2,2,8,21,577,10035,14119,95409,55+,UK,desktop,Holiday Promo,347.4,True,Both fill discussion task.,"#yourself, #key",False,132.6,49,0.004882909815645242,0.0020926756352765323,0.0
Twitter,POST00911,reel,2024-02-07 23:00:00,69,7,2,5,2,23,2434,3536,10132,33611,55+,UK,tablet,Holiday Promo,230.57,False,Lawyer wonder blue.,"#nothing, #sort",True,66.2,78,0.022058823529411766,0.006504524886877828,0.043478260869565216
Twitter,POST00912,image,2024-02-08 00:00:00,52,12,6,3,5,24,6523,3629,11664,95767,18-24,Germany,desktop,New Product Launch,464.17,False,Physical be doctor change doctor.,"#government, #question",False,40.8,70,0.019289060347203086,0.006613392119041058,0.0
Instagram,POST00913,image,2024-02-08 01:00:00,51,9,5,4,5,25,7962,16775,5002,13082,35-44,Germany,desktop,Brand Awareness,309.06,False,Very statement environment those able.,"#unit, #just",False,118.8,65,0.0038748137108792846,0.0014903129657228018,0.0
Facebook,POST00914,image,2024-02-08 02:00:00,52,7,7,1,5,25,5688,15169,4120,41137,25-34,Germany,tablet,Brand Awareness,291.03,False,Subject body life describe.,"#seem, #end",False,145.5,66,0.00435097897026831,0.0016480980947986023,0.0
Instagram,POST00915,reel,2024-02-08 03:00:00,48,13,6,4,4,24,7171,11424,16398,36279,35-44,US,tablet,Brand Awareness,250.35,True,Career bring born evidence network in section our.,"#production, #conference",False,3.9,67,0.00586484593837535,0.0021008403361344537,0.0
Instagram,POST00916,video,2024-02-08 04:00:00,53,8,5,4,2,18,9141,11886,10674,12150,55+,Germany,desktop,New Product Launch,188.87,False,General face spend forget those.,"#office, #society",True,113.8,66,0.005552751135790005,0.001514386673397274,0.05555555555555555
Facebook,POST00917,video,2024-02-08 05:00:00,53,11,7,5,6,12,9170,8222,13376,68952,35-44,Germany,tablet,Brand Awareness,74.03,True,Indicate evidence class ahead exist.,"#tend, #whether",True,162.2,71,0.008635368523473607,0.001459498905375821,0.08333333333333333
Facebook,POST00918,video,2024-02-08 06:00:00,46,13,5,2,3,14,6895,19079,9449,48329,25-34,Nigeria,mobile,Summer Sale,136.97,False,Travel study identify control sign smile child tough.,"#life, #recent",True,15.9,64,0.003354473504900676,0.0007337910791970229,0.07142857142857142
Facebook,POST00919,text,2024-02-08 07:00:00,61,7,5,3,4,22,6277,15148,9111,71573,18-24,UK,desktop,Summer Sale,166.25,False,Country bill individual.,"#return, #by",False,161.9,73,0.004819118035384209,0.0014523369421705836,0.0
Twitter,POST00920,text,2024-02-08 08:00:00,54,7,9,2,1,15,165,18117,14852,7247,55+,Germany,desktop,Holiday Promo,77.01,True,Authority improve her method member if.,"#fill, #this",True,21.2,70,0.003863774355577634,0.0008279516476237788,0.06666666666666667
LinkedIn,POST00921,text,2024-02-08 09:00:00,43,6,7,1,2,26,2319,3304,12824,6941,25-34,Germany,desktop,Summer Sale,406.36,False,Else north chance window seem.,"#board, #teacher",True,179.4,56,0.01694915254237288,0.007869249394673124,0.038461538461538464
Twitter,POST00922,reel,2024-02-08 10:00:00,49,13,3,3,6,18,1977,15109,16470,65949,25-34,Germany,mobile,New Product Launch,1.11,True,Hold today here sometimes training onto.,"#raise, #hold",False,92.1,65,0.004302071612945926,0.0011913429082004105,0.0
LinkedIn,POST00923,text,2024-02-08 11:00:00,52,9,7,5,1,22,5225,8836,15224,81846,25-34,Nigeria,desktop,Holiday Promo,457.89,True,Rate something opportunity which.,"#price, #hot",False,131.4,68,0.007695789950203712,0.002489814395654142,0.0
Twitter,POST00924,reel,2024-02-08 12:00:00,46,11,6,3,2,16,5999,19305,15539,76328,45-54,US,tablet,Brand Awareness,64.14,True,Week plant specific own task network happy.,"#section, #another",True,11.3,63,0.0032634032634032634,0.0008288008288008288,0.0625
LinkedIn,POST00925,video,2024-02-08 13:00:00,43,11,7,1,0,18,5863,15835,1818,81375,18-24,India,mobile,Brand Awareness,25.48,True,Always every science stock age actually month dinner.,"#anything, #write",False,18.4,61,0.003852226081465109,0.0011367224502683928,0.0
Twitter,POST00926,text,2024-02-08 14:00:00,43,7,3,2,5,19,2735,1879,3836,40357,55+,UK,mobile,New Product Launch,497.59,True,Lay trouble under clearly against.,"#doctor, #act",True,173.4,53,0.028206492815327302,0.010111761575306013,0.05263157894736842
Facebook,POST00927,text,2024-02-08 15:00:00,48,3,4,6,6,18,9025,12227,7032,45485,18-24,Nigeria,mobile,Holiday Promo,499.9,True,Note miss ok poor better peace.,"#suffer, #might",False,177.9,55,0.004498241596466836,0.001472151795207328,0.0
Instagram,POST00928,image,2024-02-08 16:00:00,49,6,7,5,3,20,5036,9689,2870,88034,45-54,Nigeria,mobile,Brand Awareness,95.88,False,Despite fill far set wait.,"#put, #side",False,49.9,62,0.0063990091856744764,0.0020641965115078954,0.0
Twitter,POST00929,reel,2024-02-08 17:00:00,60,12,8,4,3,16,9834,10906,2327,61330,55+,Nigeria,tablet,Holiday Promo,66.9,False,May school agency cut.,"#wrong, #accept",True,61.5,80,0.007335411699981661,0.0014670823399963323,0.0625
LinkedIn,POST00930,video,2024-02-08 18:00:00,51,7,5,3,5,20,339,7385,15149,46573,35-44,Germany,mobile,Summer Sale,98.89,True,Car run toward nearly one look.,"#heavy, #institution",False,1.8,63,0.008530805687203791,0.002708192281651997,0.0
Facebook,POST00931,image,2024-02-08 19:00:00,48,4,5,1,5,21,5266,8448,4954,61786,18-24,Nigeria,desktop,Holiday Promo,255.66,False,Section anything adult.,"#move, #into",False,172.1,57,0.006747159090909091,0.0024857954545454545,0.0
Twitter,POST00932,image,2024-02-08 20:00:00,54,17,5,6,6,21,9081,5904,3462,71083,45-54,India,mobile,Brand Awareness,160.59,False,Science life much guess father part bill.,"#sense, #summer",False,165.2,76,0.012872628726287264,0.003556910569105691,0.0
Twitter,POST00933,video,2024-02-08 21:00:00,64,7,4,0,4,25,254,4278,3433,2673,35-44,Nigeria,mobile,Brand Awareness,168.18,False,Need himself summer represent mission.,"#center, #stock",False,20.9,75,0.01753155680224404,0.00584385226741468,0.0
Facebook,POST00934,image,2024-02-08 22:00:00,46,11,5,1,5,22,9865,14600,5368,38495,45-54,US,mobile,Holiday Promo,404.78,True,Beyond leg degree organization.,"#reflect, #consider",False,65.7,62,0.0042465753424657535,0.0015068493150684932,0.0
Twitter,POST00935,reel,2024-02-08 23:00:00,43,11,5,3,2,21,7355,10364,4254,17554,55+,UK,mobile,Brand Awareness,445.1,False,Value create when as.,"#power, #his",True,174.0,59,0.005692782709378618,0.002026244693168661,0.047619047619047616
Instagram,POST00936,reel,2024-02-09 00:00:00,55,10,3,3,5,22,8561,15007,16544,75108,18-24,Germany,desktop,Brand Awareness,484.92,False,Language from inside step.,"#live, #oil",True,22.6,68,0.004531218764576531,0.0014659825414806424,0.045454545454545456
Twitter,POST00937,text,2024-02-09 01:00:00,48,8,3,3,3,24,9995,17073,1648,69214,45-54,UK,desktop,Brand Awareness,257.37,False,Station nature even age law suggest.,"#peace, #too",True,157.3,59,0.003455748843202718,0.0014057283429977157,0.041666666666666664
Instagram,POST00938,image,2024-02-09 02:00:00,53,11,3,3,1,27,6599,12497,2041,4317,55+,UK,mobile,Holiday Promo,123.07,True,Company behind report new pull art sort.,"#view, #expert",True,36.3,67,0.005361286708810115,0.002160518524445867,0.037037037037037035
Instagram,POST00939,text,2024-02-09 03:00:00,57,12,3,3,7,20,4808,15670,12795,43632,45-54,Nigeria,mobile,Brand Awareness,277.46,True,Instead up fight couple throw north.,"#page, #do",False,12.3,72,0.004594767070835992,0.0012763241863433313,0.0
Facebook,POST00940,image,2024-02-09 04:00:00,59,14,6,4,5,19,2179,14948,7198,55080,25-34,Nigeria,desktop,New Product Launch,435.53,False,Help into case usually left.,"#agree, #music",True,25.6,79,0.005284987958255285,0.001271073053251271,0.05263157894736842
Twitter,POST00941,reel,2024-02-09 05:00:00,65,13,6,3,3,13,6056,5090,1421,59034,18-24,Germany,mobile,Summer Sale,15.46,False,Before history newspaper source enjoy meet.,"#account, #action",True,127.8,84,0.016502946954813358,0.002554027504911591,0.07692307692307693
